altitude,givenTimeMillis,horizontalAccuracy,latitude,longitude,timeMillis,verticalAccuracy
-19.018256383354,1543825756000,20.0,31.265394405827845,121.6293999146323,1543825751184,0.0
-22.548330729745594,1543825757000,20.0,31.265374697898082,121.62938750284691,1543825752183,0.0
-22.88579592338322,1543825758000,20.0,31.265357035931803,121.62938123258168,1543825753186,0.0
-23.00292284366121,1543825759000,20.0,31.26535252091992,121.62939306979945,1543825754188,0.0
-22.976332901893127,1543825760000,20.0,31.265347531766245,121.62940724535403,1543825755183,0.0
-22.97778970954097,1543825761000,20.0,31.26534288786219,121.62942078348829,1543825756180,0.0
-23.011585997115265,1543825762000,20.0,31.26533960901606,121.62943061518008,1543825757187,0.0
-23.01309281341039,1543825763000,20.0,31.265327930209825,121.62942502860264,1543825758183,0.0
-23.006278063708436,1543825764000,20.0,31.265315780209143,121.62941503591342,1543825759182,0.0
-23.00537250051873,1543825765000,20.0,31.265283443004034,121.62939495110993,1543825760186,0.0
-22.933861674539507,1543825766000,20.0,31.265255426933617,121.62937593471865,1543825761176,0.0
-22.971067640078477,1543825767000,20.0,31.265233216930614,121.62935910015044,1543825762188,0.0
