x, y, magnet_x, magnet_y, magnet_z
11.4, 8.6, -7.39752892226, -84.0321003534, -72.2084959364
11.9, 8.6, -22.1522840948, -56.5200986464, -54.1894005076
12.4, 8.6, -28.0103021544, -39.7737199282, -41.238467684
12.9, 8.6, -29.7554117541, -25.0249314647, -34.9243327306
13.4, 8.6, -29.0151100671, -17.7942426174, -35.6867427852
13.9, 8.6, -27.671414958, -11.9785542185, -37.0686285714
14.4, 8.6, -27.451716179, -9.03620261618, -35.7588399312
14.9, 8.6, -28.9312745133, -6.40757327434, -33.195919292
15.4, 8.6, -27.8314142617, -7.81456901007, -29.4094313758
15.9, 8.6, -27.2920133221, -4.93305300169, -24.679125801
16.4, 8.6, -26.339805036, -2.91314191187, -19.8369665468
16.9, 8.6, -25.0216661485, 0.15030309323, -16.5569291883
17.4, 8.6, -22.3084789474, 2.83754514338, -16.3440459165
17.9, 8.6, -20.1721461938, 4.54726430796, -20.0307650519
18.4, 8.6, -17.1332244643, 1.01843678336, -27.8867225
18.9, 8.6, -15.4424769634, -2.73199476963, -34.7916207679
19.4, 8.6, -14.9293798951, -7.32315444056, -42.5921807692
19.9, 8.6, -11.463764396, -17.5159288591, -56.3853818792
20.4, 8.6, 42.2007167785, 0.904073014815, -101.482888255
20.9, 8.6, 21.2100145973, 4.43310067114, -121.287052013
21.4, 8.6, -1.14280647802, 0.165793405436, -81.8210291946
21.9, 8.6, -6.27006379195, -4.89541879195, -63.0284251678
22.4, 8.6, -5.63386701342, -13.3628260067, -56.46335
22.9, 8.6, -0.637498087739, -16.6615432161, -51.2620758794
23.4, 8.6, -4.17056565436, -6.35942275168, -50.5542384228
23.9, 8.6, -12.9051991597, -12.4474593277, -51.6626966387
24.4, 8.6, -11.436223557, -17.4438206376, -47.1056743289
24.9, 8.6, -12.3797940035, -18.2767719577, -38.5183470899
25.4, 8.6, -11.1966658163, -7.51065872449, -31.4602423469
25.9, 8.6, -24.6505660118, 1.29340547857, -28.8176233792
26.4, 8.6, -25.7917857621, -15.4031234506, -29.3463082077
26.9, 8.6, -10.2070633565, 3.46270786087, -34.3432904348
27.4, 8.6, -13.6066225473, 15.2696347676, -43.1462022375
27.9, 8.6, -17.5353059423, 18.4072570458, -39.4778887946
28.4, 8.6, -26.8260790295, 22.1059795494, -37.5859896014
28.9, 8.6, -39.6264771331, 21.4345479522, -41.2197863481
29.4, 8.6, -43.3147563574, 11.9788062887, -45.675164433
29.9, 8.6, -41.6471877311, 1.59460223563, -49.856277479
30.4, 8.6, -31.1609724958, -8.48031689304, -47.2206589134
30.9, 8.6, -34.689888455, -2.4416347691, -42.3459555178
31.4, 8.6, -39.9650285235, -14.5037649329, -35.5065963087
31.9, 8.6, -46.4801217241, -9.16350272414, -31.6815544828
32.4, 8.6, -34.3502354276, -23.1625434555, -33.5636870855
32.9, 8.6, -30.2958854027, -18.2139709732, -34.7247818792
33.4, 8.6, -28.0938085145, -16.4037559783, -34.4256827899
33.9, 8.6, -26.4094268007, -11.7500641541, -34.1407499162
34.4, 8.6, -22.804086964, -5.1401442024, -35.2029725557
34.9, 8.6, -18.9058214765, 4.0259652349, -35.2221352349
35.4, 8.6, -18.4326012346, 13.8396594356, -35.9167971781
35.9, 8.6, -23.5272786856, 16.3570225577, -40.8018737123
36.4, 8.6, -28.6158209732, 14.0067786913, -46.5793895973
36.9, 8.6, -34.9031016779, 8.95009736577, -47.7688577181
37.4, 8.6, -39.3126001776, 1.20518120853, -48.4100955595
37.9, 8.6, -38.5694770658, -5.13968993255, -50.6616118044
38.4, 8.6, -34.4220615517, -13.1087955172, -49.8813232759
38.9, 8.6, -28.4872064572, -18.1657045375, -46.1870664921
39.4, 8.6, -20.7735544839, -19.7506379019, -41.7036658206
39.9, 8.6, -13.3290309122, -20.2069363176, -40.2787758446
40.4, 8.6, -1.70619270066, -24.8307281739, -41.8551688696
11.4, 8.0, -70.1442216443, -37.096547651, -53.9904218121
11.9, 8.0, -52.5621294807, -29.4605842546, -53.8697375209
12.4, 8.0, -40.4748419463, -25.5230637584, -53.6918661074
12.9, 8.0, -36.6443409396, -18.4611812081, -50.7729946309
13.4, 8.0, -34.6897954698, -9.72540041946, -47.2914011745
