timeMillis,givenTimeMillis,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy
1539851774215,1539851775000,31.265723771167096,121.62749883074332,59.25877617435781,16.0,Infinity
1539851775222,1539851776000,31.265723984054016,121.62754484691163,56.60706315830041,16.0,Infinity
1539851776196,1539851777000,31.265717417091857,121.62757929122444,57.671889022540874,16.0,Infinity
1539851777268,1539851778000,31.265704371799135,121.62760629908428,57.76084683307318,16.0,Infinity
1539851778255,1539851779000,31.265647045206475,121.62766645808321,52.4077707303761,16.0,Infinity
1539851779258,1539851780000,31.265617223832418,121.62764989470686,52.61153075603018,16.0,Infinity
1539851780236,1539851781000,31.26560438243311,121.62763926316309,53.390523510760104,16.0,Infinity
1539851781270,1539851782000,31.265589179254864,121.62763667176013,51.93531079562196,16.0,Infinity
1539851782232,1539851783000,31.265586941556784,121.62763600567773,51.36519575297817,16.0,Infinity
1539851783255,1539851784000,31.265586783433857,121.62763065440157,52.83265462205838,16.0,Infinity
1539851784261,1539851785000,31.265577788264597,121.62763628769554,52.60023530801843,16.0,Infinity
1539851785262,1539851786000,31.26556954379431,121.6276406819339,52.814528741287084,16.0,Infinity
1539851786262,1539851787000,31.265568942806723,121.62763974017992,52.803896139599885,16.0,Infinity
1539851787305,1539851788000,31.265567374654562,121.62763786506606,52.85613212155797,16.0,Infinity
1539851788257,1539851789000,31.265567238532544,121.62763275209414,53.07696640009119,16.0,Infinity
1539851789266,1539851790000,31.265566622063957,121.62762759744363,53.03534751536423,16.0,Infinity
1539851790243,1539851791000,31.26557029113218,121.62762623129606,52.8352513898522,16.0,Infinity
1539851791255,1539851792000,31.26557209979426,121.62763546877486,52.3178679579475,16.0,Infinity
1539851792254,1539851793000,31.26558616369632,121.6276363858452,53.50024759740503,16.0,Infinity
1539851793263,1539851794000,31.265583680496906,121.62764335452947,52.54466180169778,16.0,Infinity
1539851794266,1539851795000,31.265581669656058,121.62765013634451,51.8520900809763,16.0,Infinity
1539851795254,1539851796000,31.265568646058803,121.62764252764313,52.32679381159689,16.0,Infinity
1539851796261,1539851797000,31.26556676011226,121.62763726212734,52.63698263254851,16.0,Infinity
1539851797262,1539851798000,31.26556384170109,121.62763954395389,51.87637804403241,16.0,Infinity
1539851798265,1539851799000,31.265564594040516,121.62763971430424,51.719840465468415,16.0,Infinity
1539851799259,1539851800000,31.26556794968949,121.62764433306674,50.608794035713906,16.0,Infinity
1539851800270,1539851801000,31.265571682616077,121.62763205198871,51.19010405629568,16.0,Infinity
1539851801250,1539851802000,31.2655765234523,121.62762712554178,51.77988812227809,16.0,Infinity
1539851802260,1539851803000,31.265573555990862,121.62761485476634,52.14388857671781,16.0,Infinity
1539851803247,1539851804000,31.265571070442455,121.62760760913227,51.557222044419944,16.0,Infinity
1539851804254,1539851805000,31.265573105998723,121.6276155425067,52.41153738726228,16.0,Infinity
1539851805251,1539851806000,31.265577222697594,121.62760273172205,52.811581821868,16.0,Infinity
1539851806245,1539851807000,31.26557382591041,121.62759441983155,52.54911778787446,16.0,Infinity
1539851807276,1539851808000,31.26557183620578,121.62760084473908,52.963430880645824,16.0,Infinity
1539851808262,1539851809000,31.26556408275435,121.62759489271393,53.64470815090528,16.0,Infinity
1539851809262,1539851810000,31.265563254243144,121.62760133130163,54.16956481254451,16.0,Infinity
1539851810255,1539851811000,31.265565697605425,121.6276089587945,53.249391454825165,16.0,Infinity
1539851811273,1539851812000,31.265569844242272,121.62761365400166,53.62212537513013,16.0,Infinity
1539851812256,1539851813000,31.265571427543854,121.62761781056095,52.804087176898385,16.0,Infinity
1539851813250,1539851814000,31.265567169542138,121.62761707667325,50.589038644373424,16.0,Infinity
1539851814249,1539851815000,31.26556652469858,121.62761694174561,49.786557735880685,16.0,Infinity
1539851815246,1539851816000,31.26555806070174,121.62761104753709,49.873289413234104,16.0,Infinity
1539851816263,1539851817000,31.265548366962914,121.62761621060295,49.351535157909716,16.0,Infinity
1539851817265,1539851818000,31.265542977129588,121.62762977175971,49.198040226999325,16.0,Infinity
1539851818258,1539851819000,31.26554066804923,121.62764448956091,49.130891488873594,16.0,Infinity
1539851819247,1539851820000,31.26553703962055,121.62764985642575,48.76047666239428,16.0,Infinity
1539851820235,1539851821000,31.265526332667143,121.6276390949601,49.309089963397874,16.0,Infinity
1539851821254,1539851822000,31.26552121393157,121.62763784508043,49.14210825273813,16.0,Infinity
1539851822261,1539851823000,31.265518842837324,121.62763238600883,49.10244143405136,16.0,Infinity
1539851823273,1539851824000,31.265512942856997,121.62763334180838,49.137408871351504,16.0,Infinity
1539851824259,1539851825000,31.26550937168826,121.62763420805474,49.21672869076934,16.0,Infinity
1539851825257,1539851826000,31.26550405015891,121.6276362245311,49.24929191043963,16.0,Infinity
1539851826254,1539851827000,31.26549915405597,121.62763811486207,49.31962288757417,16.0,Infinity
1539851827249,1539851828000,31.26549634814438,121.62763713500993,49.40781340628842,16.0,Infinity
1539851828265,1539851829000,31.265500148925348,121.6276313830945,49.50044242208995,16.0,Infinity
1539851829262,1539851830000,31.265481741206727,121.62762287013516,49.93926018707454,16.0,Infinity
1539851830246,1539851831000,31.26551803295295,121.62760694739542,49.43188887581178,16.0,Infinity
1539851831279,1539851832000,31.265542184026007,121.62761175115034,50.33603184906816,16.0,Infinity
